NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI118,118,8,11,47.53,27.95,-4.51,25.92,1441.9,0.0977,-302.578,3.19008,13,22,8,6
NaI119,119,8,11,47.5,23.02,-16.27,25.83,1442.9,0.0977,-257.63,3.08985,13,23,8,7
NaI120,120,8,11,47.63,13.77,-24.7,25.8,1443.4,0.0977,-407.635,3.13901,13,24,8,8
NaI121,121,8,11,47.52,1.61,-28.02,25.7,1442.2,0.0977,-335.822,3.28773,13,25,8,9
NaI122,122,8,12,42.93,-19.08,-25.92,34.6,1425.2,0.0977,-482.374,3.4338,13,26,8,10
NaI123,123,8,12,42.14,-26.16,-18.58,35.45,1432.5,0.0977,-390.06,3.5243,13,27,8,11
NaI124,124,8,12,42.5,-26.17,19.01,35.3,1423.6,0.0977,-293.691,3.1656,13,28,8,12
NaI125,125,8,12,42.74,-19.29,25.71,34.78,1434.8,0.0977,-222.174,3.14423,13,29,8,13
NaI126,126,8,12,42.9,19.06,25.82,34.54,1428.1,0.0977,-349.428,3.44277,13,30,8,14
NaI127,127,8,12,42.3,26.07,18.83,35.34,1434,0.0977,-423.33,3.39956,13,31,8,15
NaI128,128,8,12,42.26,26.03,-18.81,35.35,1426.7,0.0977,-303.551,3.33716,14,0,8,16
NaI129,129,8,12,42.64,19.16,-25.65,34.77,1428,0.0977,-366.356,3.42975,14,1,8,17
NaI130,130,8,12,38.28,-4.55,-27.06,34.78,1445.5,0.0977,-321.57,3.15051,14,2,8,18
NaI131,131,8,12,39.26,-12.16,-25.91,35.02,1426.3,0.0977,-377.223,3.3985,14,3,8,19
NaI132,132,8,12,37.95,-18.79,-19.22,34.47,1429.3,0.0977,-312.713,3.20384,14,4,8,20
NaI133,133,8,12,39.98,-25.89,-12.26,34.17,1426.3,0.0977,-344.637,3.26039,14,5,8,21
NaI134,134,8,12,38.04,-27.22,-4.25,35.21,1446,0.0977,-305.247,3.26817,14,6,8,22
NaI135,135,8,12,37.88,-27,4.28,35.13,1447.4,0.0977,-328.642,3.36239,14,7,8,23
NaI136,136,8,12,40.01,-25.99,12.28,34.25,1426.3,0.0977,-354.244,3.32081,14,8,8,24
NaI137,137,8,12,38.17,-18.89,19.16,34.23,1430.8,0.0977,-392.95,3.34849,14,9,8,25
NaI138,138,8,12,39.5,-11.92,25.94,34.64,1430.5,0.0977,-273.479,3.2688,14,10,8,26
NaI139,139,8,12,38.24,-4.58,27.1,34.88,1448,0.0977,-358.202,3.36168,14,11,8,27
NaI140,140,8,12,38.39,4.57,27.18,34.79,1447.7,0.0977,-324.752,3.2921,14,12,8,28
NaI141,141,8,12,39.12,11.98,25.82,35.01,1432.1,0.0977,-574.909,5.48052,14,13,8,29
NaI142,142,8,12,38.01,18.86,19.16,34.39,1418.2,0.0977,-434.907,3.34245,14,14,8,30
NaI143,143,8,12,40.02,25.98,12.3,34.23,1432.5,0.0977,-479.735,3.32763,14,15,8,31
NaI144,144,8,12,38.04,27.16,4.23,35.12,1439.9,0.0977,-315.446,3.28498,14,16,8,32
NaI145,145,8,12,37.78,27.09,-4.12,35.34,1439.8,0.0977,-387.818,3.22732,14,17,8,33
NaI146,146,8,12,40.19,26.19,-12.01,34.11,1423.7,0.0977,-360.436,3.37067,14,18,8,34
NaI147,147,8,12,38.21,18.95,-19.21,34.28,1426.2,0.0977,-432.194,3.32001,14,19,8,35
NaI148,148,8,12,39.18,11.87,-25.85,34.91,1424.2,0.0977,-349.536,3.32525,14,20,8,36
NaI149,149,8,12,38.21,4.49,-27.05,34.82,1439.4,0.0977,-413.073,3.25414,14,21,8,37
NaI150,150,8,12,32.89,-4.33,-21.95,34.6,1438.9,0.0977,-323.89,3.19567,14,22,8,38
NaI151,151,8,12,33.61,-12.23,-19.13,34.16,1424.8,0.0977,-408.993,3.1643,14,23,8,39
NaI152,152,8,12,33.44,-19.09,-12.12,34.25,1424.1,0.0977,-368.681,3.08783,14,24,8,40
NaI153,153,8,12,32.92,-21.89,-4.38,34.48,1439.2,0.0977,-336.015,3.17597,14,25,8,41
NaI154,154,8,12,32.86,-21.94,4.44,34.65,1442.1,0.0977,-318.494,3.18677,14,26,8,42
NaI155,155,8,12,33.83,-19.14,12.24,33.9,1422.9,0.0977,-433.608,3.4741,14,27,8,43
NaI156,156,8,12,33.69,-12.19,19.07,33.95,1414.9,0.0977,-356.297,3.09997,14,28,8,44
NaI157,157,8,12,32.92,-4.31,21.81,34.34,1443.7,0.0977,-423.361,3.15621,14,29,8,45
NaI158,158,8,12,32.99,4.38,21.88,34.38,1441.1,0.0977,-480.416,3.14242,14,30,8,46
NaI159,159,8,12,33.78,12.27,19.05,33.87,1425.3,0.0977,-409.458,3.31382,14,31,8,47
NaI160,160,8,12,33.58,19.22,12.15,34.25,1425.7,0.0977,-389.779,3.26637,15,0,8,48
NaI161,161,8,12,32.83,21.88,4.37,34.58,1437.5,0.0977,-450.444,4.19174,15,1,8,49
NaI162,162,8,12,32.76,21.85,-4.38,34.63,1436.7,0.0977,-291.263,3.0685,15,2,8,50
